commune,population_Jan,birth_alive,death,natrual_increase,arrivals,departure,migratory_balance,divergence_statistic,population_Dec,variation_num,variation_ratio
......0001,1977,10,7,3,129,165,-36,-3,1941,-36,-1.820940819
......0002,11900,128,93,35,1239,1029,210,1,12146,246,2.067226891
......0003,5435,47,25,22,374,322,52,3,5512,77,1.41674333
......0004,3571,27,20,7,298,217,81,5,3664,93,2.604312518
......0005,3687,31,20,11,224,231,-7,3,3694,7,0.189856252
......0006,1110,10,10,0,108,90,18,-3,1125,15,1.351351351
......0007,2168,21,11,10,253,123,130,-3,2305,137,6.319188192
......0008,626,9,5,4,59,52,7,4,641,15,2.396166134
......0009,4861,60,20,40,363,388,-25,10,4886,25,0.51429747
......0010,5131,46,25,21,551,347,204,0,5356,225,4.385110115
......0011,2591,15,14,1,178,197,-19,-4,2569,-22,-0.849093014
......0012,1078,6,4,2,85,64,21,2,1103,25,2.319109462
......0013,3646,48,16,32,325,292,33,6,3717,71,1.94733955
......0014,5123,59,40,19,315,345,-30,0,5112,-11,-0.214717939
......0021,666,15,3,12,38,44,-6,-7,665,-1,-0.15015015
......0022,857,7,10,-3,58,57,1,3,858,1,0.116686114
......0023,567,7,5,2,33,34,-1,-4,564,-3,-0.529100529
......0024,957,15,2,13,73,71,2,-1,971,14,1.462904911
......0025,1998,11,11,0,79,145,-66,4,1936,-62,-3.103103103
......0026,629,7,4,3,94,40,54,1,687,58,9.220985692
......0027,3596,36,35,1,295,245,50,-6,3641,45,1.251390434
......0028,1362,21,9,12,139,121,18,-2,1390,28,2.055800294
......0029,1434,15,9,6,97,99,-2,2,1440,6,0.418410042
......0030,2224,20,25,-5,149,161,-12,1,2208,-16,-0.71942446
......0031,2242,15,11,4,131,110,21,1,2268,26,1.159678858
......0032,496,1,3,-2,27,36,-9,1,486,-10,-2.016129032
......0033,2067,21,11,10,136,139,-3,2,2076,9,0.435413643
......0034,1650,13,12,1,89,73,16,1,1668,18,1.090909091
